"parents","n","labels","id"
"Ecuador",67,"Animation","Ecuador  -  Animation"
"Ecuador",1,"Biography","Ecuador  -  Biography"
"Ecuador",208,"Comedy","Ecuador  -  Comedy"
"Ecuador",86,"Crime","Ecuador  -  Crime"
"Ecuador",16,"Documentary","Ecuador  -  Documentary"
"Ecuador",285,"Drama","Ecuador  -  Drama"
"Ecuador",18,"Family","Ecuador  -  Family"
"Ecuador",24,"Fantasy","Ecuador  -  Fantasy"
"Ecuador",2,"History","Ecuador  -  History"
"Ecuador",29,"Horror","Ecuador  -  Horror"
"Ecuador",33,"Music","Ecuador  -  Music"
"Ecuador",1,"Musical","Ecuador  -  Musical"
"Ecuador",37,"Mystery","Ecuador  -  Mystery"
"Ecuador",3,"Reality TV","Ecuador  -  Reality TV"
"Ecuador",101,"Romance","Ecuador  -  Romance"
"Ecuador",19,"Sci Fi","Ecuador  -  Sci Fi"
"Ecuador",7,"Sport","Ecuador  -  Sport"
"Ecuador",61,"Thriller","Ecuador  -  Thriller"
"Ecuador",2,"War","Ecuador  -  War"
"Ecuador",3,"Western","Ecuador  -  Western"
"Egypt",202,"Action","Egypt  -  Action"
"Egypt",106,"Adventure","Egypt  -  Adventure"
"Egypt",52,"Animation","Egypt  -  Animation"
"Egypt",11,"Biography","Egypt  -  Biography"
"Egypt",186,"Comedy","Egypt  -  Comedy"
"Egypt",118,"Crime","Egypt  -  Crime"
"Egypt",27,"Documentary","Egypt  -  Documentary"
"Egypt",342,"Drama","Egypt  -  Drama"
"Egypt",16,"Family","Egypt  -  Family"
"Egypt",32,"Fantasy","Egypt  -  Fantasy"
"Egypt",4,"Game Show","Egypt  -  Game Show"
"Egypt",8,"History","Egypt  -  History"
"Egypt",32,"Horror","Egypt  -  Horror"
"Egypt",1,"Music","Egypt  -  Music"
"Egypt",1,"Musical","Egypt  -  Musical"
"Egypt",41,"Mystery","Egypt  -  Mystery"
"Egypt",6,"Reality TV","Egypt  -  Reality TV"
"Egypt",88,"Romance","Egypt  -  Romance"
"Egypt",28,"Sci Fi","Egypt  -  Sci Fi"
"Egypt",19,"Short","Egypt  -  Short"
"Egypt",3,"Sport","Egypt  -  Sport"
"Egypt",62,"Thriller","Egypt  -  Thriller"
"Egypt",4,"War","Egypt  -  War"
"Egypt",8,"Western","Egypt  -  Western"
"El Salvador",138,"Action","El Salvador  -  Action"
"El Salvador",104,"Adventure","El Salvador  -  Adventure"
"El Salvador",63,"Animation","El Salvador  -  Animation"
"El Salvador",1,"Biography","El Salvador  -  Biography"
"El Salvador",193,"Comedy","El Salvador  -  Comedy"
"El Salvador",101,"Crime","El Salvador  -  Crime"
"El Salvador",15,"Documentary","El Salvador  -  Documentary"
"El Salvador",304,"Drama","El Salvador  -  Drama"
"El Salvador",14,"Family","El Salvador  -  Family"
"El Salvador",20,"Fantasy","El Salvador  -  Fantasy"
"El Salvador",1,"History","El Salvador  -  History"
"El Salvador",25,"Horror","El Salvador  -  Horror"
"El Salvador",32,"Music","El Salvador  -  Music"
"El Salvador",37,"Mystery","El Salvador  -  Mystery"
"El Salvador",2,"Reality TV","El Salvador  -  Reality TV"
"El Salvador",109,"Romance","El Salvador  -  Romance"
"El Salvador",17,"Sci Fi","El Salvador  -  Sci Fi"
"El Salvador",8,"Sport","El Salvador  -  Sport"
"El Salvador",59,"Thriller","El Salvador  -  Thriller"
"El Salvador",2,"War","El Salvador  -  War"
"El Salvador",3,"Western","El Salvador  -  Western"
"Estonia",193,"Action","Estonia  -  Action"
"Estonia",127,"Adventure","Estonia  -  Adventure"
"Estonia",57,"Animation","Estonia  -  Animation"
"Estonia",11,"Biography","Estonia  -  Biography"
"Estonia",204,"Comedy","Estonia  -  Comedy"
"Estonia",131,"Crime","Estonia  -  Crime"
"Estonia",33,"Documentary","Estonia  -  Documentary"
"Estonia",287,"Drama","Estonia  -  Drama"
"Estonia",18,"Family","Estonia  -  Family"
"Estonia",38,"Fantasy","Estonia  -  Fantasy"
"Estonia",11,"Game Show","Estonia  -  Game Show"
"Estonia",3,"History","Estonia  -  History"
